Cepheid,logP,F555W,dF555W,F814W,dF814W,F160W,dF160W,mWesen,dmWesen,Metallicity,photpara,dphotpara,para,dpara
AA-GEM,1.053,9.913,0.029,8.542,0.025,7.348,0.017,6.86,0.023,0.080,0.259,0.008,0.311,0.019
AD-PUP,1.133,10.015,0.028,8.675,0.023,7.488,0.02,7.011,0.024,0.060,0.214,0.006,0.254,0.018
KK-CEN,1.086,11.598,0.017,9.862,0.021,8.292,0.015,7.66,0.018,0.21,0.167,0.005,0.152,0.017
CR-CAR,0.989,11.75,0.019,9.973,0.018,8.384,0.014,7.736,0.017,0.080,0.19,0.005,0.194,0.016
VZ-PUP,1.365,9.7715,0.033,8.262,0.022,6.931,0.017,6.39,0.023,0.010,0.2,0.006,0.22,0.016
S-VUL,1.839,9.1668,0.008,6.862,0.012,4.885,0.01,4.043,0.011,0.09,0.287,0.008,0.237,0.022
V-340-ARA,1.318,10.46,0.024,8.554,0.014,6.808,0.012,6.115,0.016,0.080,0.245,0.007,0.239,0.022
KN-CEN,1.532,10.062,0.023,7.924,0.017,5.856,0.006,5.076,0.013,0.55,0.273,0.008,0.251,0.02
VW-CEN,1.177,10.379,0.031,8.718,0.023,7.158,0.01,6.558,0.018,0.41,0.238,0.007,0.26,0.017
CP-CEP,1.252,10.757,0.015,8.638,0.052,6.871,0.022,6.095,0.03,0.05,0.27,0.008,0.279,0.022
AQ-PUP,1.479,8.8671,0.018,7.12,0.014,5.487,0.013,4.859,0.016,0.06,0.34,0.01,0.294,0.025
BN-PUP,1.136,10.051,0.033,8.505,0.017,7.198,0.015,6.642,0.021,0.03,0.251,0.007,0.301,0.016
XX-CAR,1.196,9.4627,0.027,8.067,0.015,6.833,0.022,6.337,0.025,0.01,0.264,0.008,0.305,0.016
UU-MUS,1.066,9.9212,0.024,8.457,0.025,7.108,0.01,6.584,0.017,0.19,0.282,0.008,0.306,0.013
SS-CMA,1.092,10.121,0.012,8.444,0.008,6.894,0.011,6.289,0.012,0.012,0.315,0.009,0.308,0.014
