CID	IAUName	Class	Peakrmag	MJD	zCMB	e_zCMB	muSz	e_muSz	AVM	e_AVM	dm15z	e_dm15z	AVz	e_AVz
6295	       2005js	       SNIa	20.1	53668.3	0.078489	0.000019	37.83	0.21	-0.16	0.17	1.69	0.01	1.97	0.09
18751	       2007ly	       SNIa	19.8	54381.3	0.069772	0.000022	37.68	0.21	-0.26	0.16	1.69	0.01	1.27	0.1
20208	       2007qd	       SNIa	20.8	54406.3	0.042445	0.000049	39.12	0.21	-0.66	0.25	1.65	0.05	0.88	0.14
8151	       2005hk	       SNIa	15.7	53685.3	0.011832	0.000013	34.55	0.27	-0.65	0.08	1.65	0.01	0.35	0.05
15568	             	      zSNIa	22.1	54030.2	0.205144	0.000028	40.39	0.39	-1.02	0.65	1.62	0.1	0.61	0.37
1032	       2005ez	       SNIa	20.2	53626.4	0.129033	0.000034	38.82	0.2	-0.57	0.22	1.62	0.06	0.42	0.11
3475	             	      zSNIa	22	53639.3	0.299548	0.000011	40.65	0.32	-0.24	0.33	1.62	0.09	0.29	0.28
9740	             	      zSNIa	21.1	53693.1	0.236617	0.01	40.22	0.28	-0.45	0.55	1.62	0.08	-0.15	0.25
16484	             	      zSNIa	21.8	54040.3	0.255452	0.000017	41.55	0.3	0.11	0.43	1.62	0.09	-0.36	0.3
15057	       2006md	      zSNIa	21.9	54011.4	0.245515	0.000017	40.66	0.25	-0.86	0.45	1.61	0.1	0.02	0.2
16163	             	      zSNIa	20.9	54048.3	0.154015	0.00001	39.49	0.21	0.2	0.27	1.6	0.08	0.61	0.15
16362	             	      zSNIa	21.1	54055.3	0.178866	0.000036	39.89	0.22	-0.74	0.3	1.6	0.08	0.31	0.15
735	             	      zSNIa	21	53616.3	0.189482	0.000045	39.61	0.27	-0.66	0.2	1.59	0.1	0.2	0.45
20350	       2007ph	       SNIa	20.5	54416.1	0.12826	0.00003	38.97	0.2	-0.14	0.23	1.58	0.09	0.51	0.1
21396	             	      zSNIa	21.9	54408.4	0.374574	0.000058	40.93	0.35	0.05	0.42	1.58	0.13	0.3	0.34
20971	             	      zSNIa	21.7	54408.3	0.299252	0.000015	40.96	0.25	-0.93	0.61	1.58	0.11	-0.14	0.22
4530	             	      zSNIa	21.8	53635.4	0.295229	0.0005	40.85	0.33	0.03	0.43	1.56	0.14	0.45	0.32
15946	             	      zSNIa	22.1	54039.2	0.373461	0.000014	41.37	0.67	0.26	0.4	1.56	0.12	0.27	0.31
15354	       2006lp	       SNIa	21.2	54025.3	0.220681	0.0005	39.93	0.22	0.05	0.26	1.55	0.1	0.55	0.15
18761	             	      zSNIa	21.9	54373.4	0.280839	0.000031	41.05	0.36	-0.36	0.44	1.55	0.15	-0.04	0.34
18298	       2007li	       SNIa	20.3	54381.4	0.118589	0.000022	38.41	0.21	0.63	0.19	1.54	0.1	1.27	0.15
16889	             	      zSNIa	21.7	54052.1	0.254535	0.000073	       	      	0.49	0.6	1.54	0.16	0.6	0.33
7600	             	      zSNIa	20.8	53679.2	0.186623	0.000033	39.65	0.2	-0.43	0.29	1.54	0.08	0.33	0.11
15897	       2006pb	       SNIa	20.7	54041.2	0.173568	0.000089	39.54	0.37	-0.47	0.2	1.54	0.06	0.26	0.11
20723	             	      zSNIa	22.2	54406.3	0.376293	0.000081	41.44	0.31	0.11	0.46	1.54	0.14	0.01	0.34
17886	       2007jh	       SNIa	18.2	54365.5	0.040221	0.000011	36.67	0.2	-0.2	0.09	1.53	0.04	0.98	0.07
20926	             	      zSNIa	22.3	54413.4	0.229314	0.000027	40.97	0.44	-1.44	0.28	1.53	0.18	0.44	0.31
18604	       2007lp	       SNIa	20.8	54394.3	0.174828	0.000023	39.78	0.19	-0.6	0.2	1.53	0.09	0.07	0.11
16975	             	      zSNIa	21.9	54053.3	0.359748	0.000055	41.74	0.3	-0.57	0.46	1.53	0.15	-0.36	0.3
20704	             	      zSNIa	22.3	54406.2	0.313136	0.000148	40.86	0.5	0.5	0.46	1.52	0.19	0.63	0.4
12781	       2006er	       SNIa	19.5	53989.3	0.082817	0.000177	38.09	0.19	-0.13	0.11	1.52	0.08	0.42	0.1
16849	             	      zSNIa	21.5	54059.3	0.159415	0.000058	41.9	0.29	0.4	0.16	1.52	0.17	-0.13	0.19
3195	             	      zSNIa	21.5	53639.3	0.298507	0.01	40.95	0.26	-0.52	0.3	1.52	0.12	-0.16	0.21
7460	       2005jx	      zSNIa	22.1	53674.1	0.248054	0.000017	41.96	0.31	-0.35	0.38	1.52	0.18	-0.5	0.25
16626	             	      zSNIa	21.8	54062.3	0.280102	0.000022	40.69	0.36	0.16	0.33	1.51	0.18	0.22	0.26
